Food,Description,Price,Category,Available
Sausage and Peppazz,Grilled Italian sausage with onions and peppazz. Served with fries.,$14.95,Handhelds,yes
Athenian Army Wrap,"Spring mix lettuce, grilled chicken, feta, olives, tomato, cucumber, red onions, and Greek dressing. Served with fries.",$14.95,Handhelds,yes
Philly Cheesesteak,With onions and fries.,$13.95,Handhelds,yes
Chicken Philly,With onions and fries.,$13.95,Handhelds,yes
Smash Burger,With onions and cheese with fries.,$12.95,Handhelds,yes
Traditional Burger,With or without cheese with fries. Add bacon for additional cost.,$10.95,Handhelds,yes
Big Country Chicken Sandwich,"Grilled chicken, cheese, bacon, and BBQ sauce with fries.",$13.95,Handhelds,yes
Ellie's Wrap,"Grilled chicken breast, spring mix lettuce, tomato, bacon bits, cheddar cheese, zesty garlic ranch in a garlic tortilla.",$13.95,Handhelds,yes
Gyro,"Tomato, onion, tzatziki with fries.",$13.95,Handhelds,yes
Chicken Gyro,"Tomato, onion, tzatziki with fries.",$13.95,Handhelds,yes
Spinach Pie,Served with fries.,$11.95,Handhelds,yes
The Dimos,"Double smash burger with bacon, onion, cheese, and an egg. Served with fries.",$14.95,Smash Burgers,yes
Triple Fatty,"Three-smash burger with bacon, cheese, onion. Served with fries.",$14.95,Smash Burgers,yes
Shroom 'n Doom,"Double smash burger with bacon, cheese, onions, and mushrooms. Served with fries.",$14.95,Smash Burgers,yes
Greek Salad,"Mixed lettuce, tomatoes, cucumbers, Greek olives, pepperoncino peppers, red onion, and feta cheese.",$13.95,Sides / Salad,yes
Greek Fries,Crisp fries with Greek-inspired flavor.,$7.95,Sides / Salad,yes
Chicken Tenders,Served with fries.,$7.95,Kids,yes
Hot Dog,Served with fries.,$7.95,Kids,yes
Mozzarella Sticks,A kid-friendly favorite.,$7.95,Kids,yes
